,start_location_lat,start_location_long,created_date,period,time_of_day
9030,30.324304,-97.710904,2016-07-04 04:13:14,8,0 days 04:13:14.000000000
9031,30.310482,-97.706002,2016-07-04 04:13:39,8,0 days 04:13:39.000000000
9032,30.324304,-97.710904,2016-07-04 04:13:41,8,0 days 04:13:41.000000000
9033,30.309358,-97.769876,2016-07-04 04:14:09,8,0 days 04:14:09.000000000
9034,30.273893,-97.764157,2016-07-04 04:14:16,8,0 days 04:14:16.000000000
9035,30.34125,-97.738405,2016-07-04 04:14:19,8,0 days 04:14:19.000000000
9036,30.266723,-97.741919,2016-07-04 04:14:31,8,0 days 04:14:31.000000000
9037,30.352639,-97.752416,2016-07-04 04:14:51,8,0 days 04:14:51.000000000
9038,30.26696,-97.745692,2016-07-04 04:15:22,8,0 days 04:15:22.000000000
9039,30.266731,-97.741955,2016-07-04 04:15:48,8,0 days 04:15:48.000000000
9040,30.266706,-97.74197,2016-07-04 04:16:55,8,0 days 04:16:55.000000000
9041,30.227316,-97.761008,2016-07-04 04:17:32,8,0 days 04:17:32.000000000
9042,30.26625,-97.744591,2016-07-04 04:17:58,8,0 days 04:17:58.000000000
9044,30.254186,-97.747459,2016-07-04 04:18:03,8,0 days 04:18:03.000000000
9045,30.288202,-97.74332,2016-07-04 04:18:08,8,0 days 04:18:08.000000000
9046,30.292835,-97.745209,2016-07-04 04:18:14,8,0 days 04:18:14.000000000
9047,30.227316,-97.761008,2016-07-04 04:18:38,8,0 days 04:18:38.000000000
